,accommodates,bathrooms,bedrooms,beds,guests_included,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_cleanliness,review_scores_location,reviews_per_month,price,has_availability,host_response_rate,instant_bookable,cancellation_policy,security_deposit,host_is_superhost,host_name,host_location,host_neighbourhood,property_type,neighbourhood,host_verifications,host_response_time,room_type,extra_people,zipcode
8193,9,2.0,3.0,6.0,6,0,7,5,10.0,10.0,0.45,95.0,0,1,1,3,0,0,950,126,39,1,4,92,3,0,0,33
8194,5,1.0,3.0,3.0,1,8,10,7,10.0,10.0,0.64,135.0,0,1,1,3,0,0,43,126,38,1,1,170,2,0,0,25
8195,9,3.0,5.0,6.0,1,30,10,9,10.0,10.0,0.75,350.0,0,1,0,4,33,0,1073,126,26,23,4,145,3,0,0,52
8196,6,1.0,2.0,3.0,1,0,55,34,10.0,10.0,3.45,110.0,0,1,1,0,33,1,276,166,2,1,0,118,3,0,0,36
8197,2,1.0,1.0,2.0,1,0,1,0,6.0,10.0,0.06,175.0,0,1,0,3,0,0,971,402,39,1,13,166,3,2,0,29
8198,2,1.0,1.0,1.0,1,3,26,17,10.0,9.0,1.66,38.0,0,1,1,0,0,1,1213,126,14,1,3,185,3,2,0,58
8199,6,2.0,3.0,3.0,1,4,66,52,10.0,10.0,4.23,190.0,0,1,1,0,0,0,1563,126,39,1,1,90,3,0,15,25
8200,2,1.0,1.0,1.0,1,19,50,35,10.0,10.0,3.23,65.0,0,1,0,3,0,1,1447,126,39,7,13,124,3,0,0,27
8201,4,1.0,0.0,2.0,1,5,2,2,10.0,10.0,0.58,100.0,0,1,0,0,0,0,65,126,37,1,7,126,3,0,0,60
8202,2,1.0,1.0,1.0,1,5,12,11,8.0,9.0,0.75,100.0,0,1,0,0,0,0,65,126,37,1,1,126,3,0,0,23
8203,4,1.5,2.0,2.0,1,0,10,9,9.0,9.0,0.8,40.0,0,1,1,3,0,0,106,166,39,1,1,206,3,0,8,23
8204,4,1.0,1.0,2.0,1,3,42,31,10.0,9.0,2.71,90.0,0,1,1,0,0,1,1788,126,2,1,0,115,3,0,0,48
8205,2,1.0,0.0,1.0,1,24,28,15,9.0,10.0,1.81,65.0,0,1,1,3,0,0,796,166,32,1,8,170,3,0,0,25
8206,4,1.0,0.0,2.0,2,3,18,14,9.0,10.0,1.19,55.0,0,1,1,3,21,0,794,137,39,1,13,170,3,0,1,29
8207,4,1.0,2.0,3.0,3,4,26,21,10.0,9.0,1.67,90.0,0,1,1,0,0,1,1567,125,39,1,0,124,3,0,1,40
8208,4,1.0,1.0,1.0,1,2,78,58,10.0,10.0,5.01,220.0,0,1,1,0,0,1,701,126,28,7,12,156,3,0,0,25
8209,2,1.0,4.0,1.0,1,26,0,0,10.0,10.0,1.46,220.0,0,1,1,0,0,0,1123,126,12,3,2,166,3,2,0,27
8210,4,1.0,2.0,2.0,2,5,48,40,10.0,10.0,3.09,80.0,0,1,1,0,0,1,686,166,36,1,1,92,3,0,8,21
8211,4,1.0,2.0,3.0,1,1,1,0,10.0,10.0,0.06,89.0,0,1,1,4,21,0,50,126,39,1,8,46,3,0,0,25
8212,2,1.0,1.0,1.0,1,1,73,52,10.0,9.0,4.69,49.0,0,1,1,3,33,1,1594,360,31,1,1,71,3,2,15,60
8213,4,1.0,2.0,4.0,1,7,0,0,10.0,10.0,1.46,120.0,0,1,1,3,9,0,1052,126,39,1,1,166,3,0,8,23
8214,2,1.0,1.0,1.0,1,10,16,11,9.0,10.0,1.0,59.0,0,1,1,3,9,1,905,166,39,1,13,170,3,0,50,29
8215,5,1.0,2.0,3.0,3,4,38,29,10.0,10.0,2.44,75.0,0,1,1,3,75,1,106,126,26,7,4,63,3,0,6,33
8216,4,1.0,2.0,2.0,2,1,51,37,10.0,10.0,3.34,49.0,0,44,1,5,21,0,1123,126,34,1,11,128,3,0,4,23
8217,7,1.0,2.0,4.0,1,14,13,5,10.0,10.0,0.85,88.0,0,1,1,4,0,0,508,126,37,1,13,125,3,0,0,29
8218,4,2.0,2.0,2.0,4,29,2,1,9.0,10.0,0.13,200.0,0,19,0,0,0,0,506,126,14,1,1,179,2,0,1,23
